0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;a 2 a 0 0 a 2 a;0 a 2 a a 2 a 0;Z
 -0.00000000;0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;575
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;580
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;585
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;590
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;595
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;600
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;605
 -0.00000000;0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;610
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;615
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;620
0.00000000;0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;625
 -0.00000000;0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;630
0.00000000;0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;635
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;640
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;645
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;650
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;655
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;660
 -0.00000000;0.00000000; -0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;665
 -0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;670
 -0.00000000; -0.00000000;0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;675
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;680
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;685
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;690
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;695
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;700
